ts,ms,pump,manual_override,alert,reason,context,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy,ml_on,ml_pred,ml_conf,ml_used,extra
1758845396.803673,140961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.6,22.65,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845397.513033,141953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.5,22.59,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845398.5264032,142961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.69,20.41,19.5,69,0,False,90.48,9.06,True,human-tap,0.277,False,
1758845399.531623,143969,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.7,22.63,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845400.5298119,144961,False,False,False,none,night,0,19.44,19.5,19.94,-0.5,1000.9,108.5,22.57,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845401.5140538,145953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.77,20.39,19.5,69,0,False,90.37,9.06,True,human-tap,0.277,False,
1758845402.5264719,146961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.75,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845403.512444,147953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.8,108.6,22.75,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845404.521066,148961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.5,22.77,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845405.514868,149953,False,False,False,none,night,0,19.44,19.56,19.87,-0.44,1000.9,108.6,22.65,20.39,19.5,69,0,False,0.0,9.05,True,calm,0.656,False,
1758845406.522937,150961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.6,22.77,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
