ts,ms,pump,manual_override,alert,reason,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy
1758213517.785687,131532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.9,25.73,26.45,25.9,55,405,False,3.16,0.455
1758213518.577684,132524,True,False,True,hypoxia_emerg,15000,28.0,28.0,27.94,0.06,1002.1,14.8,25.79,26.43,25.9,55,379,False,4.39,0.455
1758213519.581713,133532,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,14.9,25.73,26.43,25.9,55,381,False,3.28,0.453
1758213520.7550662,134524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.9,25.85,26.43,25.9,55,361,False,3.77,0.455
1758213521.5862982,135532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,14.8,25.69,26.43,25.9,55,372,False,3.32,0.453
1758213522.6039639,136524,True,False,True,hypoxia_emerg,15000,28.06,28.0,28.0,0.06,1002.1,14.8,25.79,26.41,25.9,55,380,False,1.71,0.455
1758213523.584894,137532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.8,25.73,26.43,25.9,55,385,False,2.47,0.455
1758213524.5721128,138524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.8,25.75,26.45,25.9,55,363,False,4.11,0.455
1758213525.581922,139532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.8,25.67,26.39,25.9,55,363,False,2.7,0.455
1758213526.572649,140524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.7,25.79,26.43,25.9,55,365,False,4.13,0.455
1758213527.5858262,141532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,14.7,25.73,26.45,25.9,55,365,False,3.89,0.453
